Start,End,Total duration,Alarm text,Alarm class
01/10/2018 15:43,01/10/2018 15:44,31,a,S
01/10/2018 15:43,01/10/2018 15:44,26,c,O
01/10/2018 16:07,01/10/2018 16:07,13,a,S
01/10/2018 16:07,01/10/2018 16:07,8,c,O
01/10/2018 16:09,01/10/2018 16:10,22,a,S
01/10/2018 16:09,01/10/2018 16:10,18,c,O
01/10/2018 16:13,01/10/2018 16:13,4,a,S
01/10/2018 16:13,01/10/2018 16:13,1,c,O
01/10/2018 16:15,01/10/2018 16:43,1680,b,E
01/10/2018 16:15,01/10/2018 16:43,1680,a,S
01/10/2018 16:50,01/10/2018 16:50,20,a,S
01/10/2018 16:50,01/10/2018 16:50,16,c,O
01/10/2018 17:09,01/10/2018 17:13,243,a,S
01/10/2018 17:09,01/10/2018 17:13,240,c,O
01/10/2018 17:16,01/10/2018 17:20,266,a,S
01/10/2018 17:16,01/10/2018 17:20,262,c,O
01/10/2018 17:27,01/10/2018 17:29,127,a,S
01/10/2018 17:27,01/10/2018 17:29,123,c,O
01/10/2018 17:31,01/10/2018 17:32,11,a,S
01/10/2018 17:31,01/10/2018 17:32,6,c,O
01/10/2018 18:23,01/10/2018 18:23,5,a,S
01/10/2018 18:23,01/10/2018 18:23,1,c,O
01/10/2018 18:25,01/10/2018 18:27,131,a,S
01/10/2018 18:25,01/10/2018 18:27,127,c,O
01/10/2018 18:29,01/10/2018 18:29,10,a,S
01/10/2018 18:29,01/10/2018 18:29,6,c,O
01/10/2018 18:31,01/10/2018 18:31,13,a,S
01/10/2018 18:31,01/10/2018 18:31,9,c,O
01/10/2018 18:36,01/10/2018 18:36,5,a,S
01/10/2018 18:42,01/10/2018 18:42,3,a,S
01/10/2018 18:47,01/10/2018 18:47,8,a,S
01/10/2018 18:47,01/10/2018 18:47,3,c,O
01/10/2018 18:50,01/10/2018 18:50,2,a,S
01/10/2018 18:51,01/10/2018 18:52,34,a,S
01/10/2018 18:51,01/10/2018 18:52,29,c,O
01/10/2018 18:55,01/10/2018 18:56,40,a,S
01/10/2018 18:55,01/10/2018 18:56,36,c,O
01/10/2018 18:57,01/10/2018 18:57,3,a,S
01/10/2018 18:59,01/10/2018 19:15,926,a,S
01/10/2018 18:59,01/10/2018 19:15,921,c,O
01/10/2018 19:00,01/10/2018 19:15,900,b,E
01/10/2018 19:21,01/10/2018 19:22,20,a,S
01/10/2018 19:21,01/10/2018 19:22,16,c,O
01/10/2018 19:23,01/10/2018 19:23,2,a,S
01/10/2018 19:24,01/10/2018 19:25,53,a,S
01/10/2018 19:24,01/10/2018 19:25,49,c,O
01/10/2018 19:26,01/10/2018 19:28,141,a,S
01/10/2018 19:26,01/10/2018 19:28,137,c,O
01/10/2018 19:29,01/10/2018 19:31,77,a,S
01/10/2018 19:29,01/10/2018 19:31,73,c,O
01/10/2018 19:32,01/10/2018 19:33,68,a,S
01/10/2018 19:32,01/10/2018 19:33,64,c,O
01/10/2018 19:34,01/10/2018 19:35,82,a,S
01/10/2018 19:34,01/10/2018 19:35,77,c,O
01/10/2018 19:38,01/10/2018 19:38,1,a,S
01/10/2018 19:39,01/10/2018 19:39,21,a,S
01/10/2018 19:39,01/10/2018 19:39,16,c,O
01/10/2018 19:42,01/10/2018 19:43,52,a,S
01/10/2018 19:43,01/10/2018 19:43,48,c,O
01/10/2018 19:46,01/10/2018 19:46,13,a,S
01/10/2018 19:46,01/10/2018 19:46,8,c,O
01/10/2018 19:47,01/10/2018 19:47,19,a,S
01/10/2018 19:47,01/10/2018 19:47,15,c,O
01/10/2018 19:51,01/10/2018 19:51,6,a,S
01/10/2018 19:51,01/10/2018 19:51,3,c,O
01/10/2018 19:53,01/10/2018 19:53,2,a,S
01/10/2018 19:54,01/10/2018 19:54,5,a,S
01/10/2018 19:54,01/10/2018 19:54,1,c,O
01/10/2018 19:55,01/10/2018 19:55,4,a,S
01/10/2018 19:56,01/10/2018 19:58,109,a,S
01/10/2018 19:56,01/10/2018 19:58,104,c,O
01/10/2018 20:05,01/10/2018 20:06,49,a,S
01/10/2018 20:07,01/10/2018 20:07,21,a,S
01/10/2018 20:18,01/10/2018 20:18,13,a,S
01/10/2018 20:18,01/10/2018 20:18,9,c,O
01/10/2018 20:19,01/10/2018 20:20,26,a,S
01/10/2018 20:29,01/10/2018 20:29,35,a,S
01/10/2018 20:29,01/10/2018 20:29,31,c,O
01/10/2018 20:31,01/10/2018 20:31,2,a,S
01/10/2018 20:33,01/10/2018 20:33,4,a,S
01/10/2018 20:35,01/10/2018 20:35,28,a,S
01/10/2018 20:35,01/10/2018 20:35,23,c,O
01/10/2018 20:37,01/10/2018 20:37,2,a,S
01/10/2018 20:38,01/10/2018 20:38,10,a,S
01/10/2018 20:38,01/10/2018 20:38,6,c,O
01/10/2018 20:41,01/10/2018 20:41,11,a,S
01/10/2018 20:41,01/10/2018 20:41,6,c,O
01/10/2018 20:44,01/10/2018 20:44,26,a,S
01/10/2018 20:44,01/10/2018 20:44,21,c,O
01/10/2018 20:45,01/10/2018 20:45,10,a,S
01/10/2018 20:45,01/10/2018 20:45,5,c,O
01/10/2018 20:46,01/10/2018 20:47,7,a,S
01/10/2018 20:46,01/10/2018 20:47,2,c,O
01/10/2018 20:51,01/10/2018 20:51,11,a,S
01/10/2018 20:51,01/10/2018 20:51,7,c,O
01/10/2018 20:53,01/10/2018 20:53,2,a,S
01/10/2018 20:55,01/10/2018 20:55,4,a,S
01/10/2018 20:56,01/10/2018 20:56,8,a,S
01/10/2018 20:56,01/10/2018 20:56,4,c,O
01/10/2018 20:57,01/10/2018 20:57,11,a,S
01/10/2018 20:57,01/10/2018 20:57,6,c,O
01/10/2018 20:58,01/10/2018 21:01,155,a,S
01/10/2018 20:58,01/10/2018 21:01,151,c,O
01/10/2018 21:02,01/10/2018 21:02,2,a,S
01/10/2018 21:03,01/10/2018 21:03,9,a,S
01/10/2018 21:03,01/10/2018 21:03,6,c,O
01/10/2018 21:06,01/10/2018 21:06,15,a,S
01/10/2018 21:06,01/10/2018 21:06,11,c,O
01/10/2018 21:08,01/10/2018 21:08,11,a,S
01/10/2018 21:08,01/10/2018 21:08,7,c,O
01/10/2018 21:09,01/10/2018 21:10,8,a,S
01/10/2018 21:09,01/10/2018 21:10,4,c,O
01/10/2018 21:11,01/10/2018 21:11,14,a,S
01/10/2018 21:11,01/10/2018 21:11,10,c,O
01/10/2018 21:12,01/10/2018 21:12,4,a,S
01/10/2018 21:13,01/10/2018 21:14,25,a,S
01/10/2018 21:13,01/10/2018 21:14,22,c,O
01/10/2018 21:18,01/10/2018 21:18,13,a,S
01/10/2018 21:18,01/10/2018 21:18,9,c,O
01/10/2018 21:19,01/10/2018 21:20,9,a,S
01/10/2018 21:19,01/10/2018 21:20,5,c,O
01/10/2018 21:21,01/10/2018 21:24,192,a,S
01/10/2018 21:21,01/10/2018 21:24,187,c,O
01/10/2018 21:45,01/10/2018 21:50,300,b,E
01/10/2018 21:45,01/10/2018 21:50,300,a,S
01/10/2018 21:52,01/10/2018 21:54,160,a,S
01/10/2018 21:52,01/10/2018 21:54,156,c,O
01/10/2018 22:00,01/10/2018 22:00,12,a,S
01/10/2018 22:00,01/10/2018 22:00,9,c,O
01/10/2018 23:13,01/10/2018 23:14,47,a,S
01/10/2018 23:14,01/10/2018 23:14,44,c,O
01/10/2018 23:15,01/10/2018 23:15,2,a,S
01/10/2018 23:19,01/10/2018 23:19,12,a,S
01/10/2018 23:19,01/10/2018 23:19,7,c,O
01/10/2018 23:30,01/10/2018 23:30,23,a,S
01/10/2018 23:30,01/10/2018 23:30,18,c,O
01/10/2018 23:35,01/10/2018 23:35,30,a,S
